epoch,step,train_m_loss,train_s_loss,test_m_loss,test_s_loss
0,0,0.068,0.068,0.0586,0.0586
0,540,0.0572,0.0572,0.1021,0.1021
0,1080,0.055,0.055,0.063,0.063
0,1620,0.0458,0.0458,0.0562,0.0562
0,2160,0.0711,0.0711,0.0623,0.0623
0,2700,0.0608,0.0608,0.0771,0.0771
0,3240,0.0649,0.0649,0.0777,0.0777
0,3780,0.1,0.1,0.0589,0.0589
0,4320,0.0773,0.0773,0.0712,0.0712
0,4860,0.0637,0.0637,0.0687,0.0687
1,0,0.0636,0.0636,0.0674,0.0674
1,540,0.063,0.063,0.0607,0.0607
1,1080,0.0529,0.0529,0.0637,0.0637
1,1620,0.0416,0.0416,0.0764,0.0764
1,2160,0.0715,0.0715,0.0645,0.0645
1,2700,0.0587,0.0587,0.0431,0.0431
1,3240,0.0633,0.0633,0.0507,0.0507
1,3780,0.0995,0.0995,0.0707,0.0707
1,4320,0.074,0.074,0.0748,0.0748
1,4860,0.0649,0.0649,0.083,0.083
2,0,0.0549,0.0549,0.0517,0.0517
2,540,0.05,0.05,0.0581,0.0581
2,1080,0.0492,0.0492,0.0419,0.0419
2,1620,0.0401,0.0401,0.0613,0.0613
2,2160,0.0538,0.0538,0.0551,0.0551
2,2700,0.0407,0.0407,0.0499,0.0499
2,3240,0.0376,0.0376,0.0568,0.0568
2,3780,0.0838,0.0838,0.0606,0.0606
2,4320,0.0709,0.0709,0.0588,0.0588
2,4860,0.0609,0.0609,0.0651,0.0651
3,0,0.0425,0.0425,0.0494,0.0494
3,540,0.0442,0.0442,0.0574,0.0574
3,1080,0.0437,0.0437,0.0572,0.0572
3,1620,0.0404,0.0404,0.0447,0.0447
3,2160,0.0491,0.0491,0.0401,0.0401
3,2700,0.0437,0.0437,0.0534,0.0534
3,3240,0.0345,0.0345,0.041,0.041
3,3780,0.0757,0.0757,0.048,0.048
3,4320,0.0571,0.0571,0.0494,0.0494
3,4860,0.055,0.055,0.0761,0.0761
4,0,0.037,0.037,0.0379,0.0379
4,540,0.0528,0.0528,0.0509,0.0509
4,1080,0.0387,0.0387,0.0543,0.0543
4,1620,0.0358,0.0358,0.042,0.042
4,2160,0.0408,0.0408,0.0496,0.0496
4,2700,0.0307,0.0307,0.029,0.029
4,3240,0.0362,0.0362,0.0458,0.0458
4,3780,0.0659,0.0659,0.0435,0.0435
4,4320,0.043,0.043,0.0383,0.0383
4,4860,0.0428,0.0428,0.0543,0.0543
5,0,0.0295,0.0295,0.0326,0.0326
5,540,0.0234,0.0234,0.0357,0.0357
5,1080,0.03,0.03,0.045,0.045
5,1620,0.0202,0.0202,0.0298,0.0298
5,2160,0.0269,0.0269,0.0364,0.0364
5,2700,0.0255,0.0255,0.0395,0.0395
5,3240,0.0363,0.0363,0.037,0.037
5,3780,0.0539,0.0539,0.0371,0.0371
5,4320,0.0269,0.0269,0.0262,0.0262
5,4860,0.0343,0.0343,0.0272,0.0272
6,0,0.0272,0.0272,0.0421,0.0421
6,540,0.0225,0.0225,0.0244,0.0244
6,1080,0.0238,0.0238,0.035,0.035
6,1620,0.0194,0.0194,0.0327,0.0327
6,2160,0.0197,0.0197,0.0236,0.0236
6,2700,0.0211,0.0211,0.0294,0.0294
6,3240,0.029,0.029,0.0319,0.0319
6,3780,0.0456,0.0456,0.0272,0.0272
6,4320,0.0225,0.0225,0.0315,0.0315
6,4860,0.0292,0.0292,0.0328,0.0328
7,0,0.0227,0.0227,0.019,0.019
7,540,0.0208,0.0208,0.0284,0.0284
7,1080,0.021,0.021,0.0385,0.0385
7,1620,0.019,0.019,0.0416,0.0416
7,2160,0.0243,0.0243,0.0187,0.0187
7,2700,0.0155,0.0155,0.0416,0.0416
7,3240,0.0179,0.0179,0.017,0.017
7,3780,0.0379,0.0379,0.0261,0.0261
7,4320,0.0174,0.0174,0.0229,0.0229
7,4860,0.0264,0.0264,0.0276,0.0276
8,0,0.0213,0.0213,0.0236,0.0236
8,540,0.0197,0.0197,0.0243,0.0243
8,1080,0.0271,0.0271,0.0272,0.0272
8,1620,0.0167,0.0167,0.0224,0.0224
8,2160,0.0185,0.0185,0.0301,0.0301
8,2700,0.0195,0.0195,0.0205,0.0205
8,3240,0.0197,0.0197,0.0282,0.0282
8,3780,0.0362,0.0362,0.0341,0.0341
8,4320,0.0154,0.0154,0.0221,0.0221
8,4860,0.0244,0.0244,0.023,0.023
9,0,0.0233,0.0233,0.0155,0.0155
9,540,0.0201,0.0201,0.0294,0.0294
9,1080,0.0209,0.0209,0.0191,0.0191
9,1620,0.0137,0.0137,0.0219,0.0219
9,2160,0.0242,0.0242,0.0255,0.0255
9,2700,0.0187,0.0187,0.0149,0.0149
9,3240,0.0158,0.0158,0.0194,0.0194
9,3780,0.0365,0.0365,0.026,0.026
9,4320,0.0238,0.0238,0.0326,0.0326
9,4860,0.0303,0.0303,0.0245,0.0245
10,0,0.0172,0.0172,0.0219,0.0219
10,540,0.0142,0.0142,0.0257,0.0257
10,1080,0.0229,0.0229,0.0195,0.0195
10,1620,0.014,0.014,0.0279,0.0279
10,2160,0.0184,0.0184,0.0217,0.0217
10,2700,0.014,0.014,0.0183,0.0183
10,3240,0.0141,0.0141,0.0227,0.0227
10,3780,0.0256,0.0256,0.0234,0.0234
10,4320,0.0165,0.0165,0.0316,0.0316
10,4860,0.0241,0.0241,0.0218,0.0218
11,0,0.0169,0.0169,0.0231,0.0231
11,540,0.0139,0.0139,0.023,0.023
11,1080,0.0217,0.0217,0.027,0.027
11,1620,0.0123,0.0123,0.0245,0.0245
11,2160,0.0147,0.0147,0.0205,0.0205
11,2700,0.0214,0.0214,0.0217,0.0217
11,3240,0.0182,0.0182,0.0194,0.0194
11,3780,0.0265,0.0265,0.0376,0.0376
11,4320,0.0153,0.0153,0.0282,0.0282
11,4860,0.0249,0.0249,0.0268,0.0268
12,0,0.0142,0.0142,0.0314,0.0314
12,540,0.0123,0.0123,0.0235,0.0235
12,1080,0.0209,0.0209,0.0255,0.0255
12,1620,0.0141,0.0141,0.0215,0.0215
12,2160,0.0163,0.0163,0.0252,0.0252
12,2700,0.0208,0.0208,0.0342,0.0342
12,3240,0.0146,0.0146,0.0243,0.0243
12,3780,0.0267,0.0267,0.0195,0.0195
12,4320,0.0146,0.0146,0.0193,0.0193
12,4860,0.0245,0.0245,0.0203,0.0203
13,0,0.0183,0.0183,0.0296,0.0296
13,540,0.0153,0.0153,0.0239,0.0239
13,1080,0.0159,0.0159,0.0255,0.0255
13,1620,0.0138,0.0138,0.0199,0.0199
13,2160,0.0151,0.0151,0.0278,0.0278
13,2700,0.0167,0.0167,0.0251,0.0251
13,3240,0.0139,0.0139,0.0313,0.0313
13,3780,0.0275,0.0275,0.0271,0.0271
13,4320,0.0167,0.0167,0.0235,0.0235
13,4860,0.0209,0.0209,0.0256,0.0256
14,0,0.017,0.017,0.0227,0.0227
14,540,0.0122,0.0122,0.0194,0.0194
14,1080,0.0198,0.0198,0.0126,0.0126
14,1620,0.0105,0.0105,0.016,0.016
14,2160,0.013,0.013,0.0141,0.0141
14,2700,0.0156,0.0156,0.0202,0.0202
14,3240,0.0121,0.0121,0.0134,0.0134
14,3780,0.0224,0.0224,0.0218,0.0218
14,4320,0.0167,0.0167,0.018,0.018
14,4860,0.0226,0.0226,0.0338,0.0338
15,0,0.0208,0.0208,0.0323,0.0323
15,540,0.0118,0.0118,0.0299,0.0299
15,1080,0.0166,0.0166,0.0091,0.0091
15,1620,0.0098,0.0098,0.016,0.016
15,2160,0.0123,0.0123,0.0214,0.0214
15,2700,0.0159,0.0159,0.0115,0.0115
15,3240,0.0157,0.0157,0.0198,0.0198
15,3780,0.0201,0.0201,0.0344,0.0344
15,4320,0.0102,0.0102,0.0134,0.0134
15,4860,0.025,0.025,0.0281,0.0281
16,0,0.0163,0.0163,0.0166,0.0166
16,540,0.0121,0.0121,0.0261,0.0261
16,1080,0.018,0.018,0.0289,0.0289
16,1620,0.0144,0.0144,0.0206,0.0206
16,2160,0.0142,0.0142,0.0285,0.0285
