epoch,step,train_m_loss,train_s_loss,test_m_loss,test_s_loss
0,0,169.65,169.65,131.65,131.65
0,540,156.9,156.9,142.85,142.85
0,1080,196.5,196.5,147.2,147.2
0,1620,158.9,158.9,179.5,179.5
0,2160,158.15,158.15,167.55,167.55
0,2700,153.45,153.45,149.25,149.25
0,3240,183.75,183.75,161.7,161.7
0,3780,139.45,139.45,159.2,159.2
0,4320,167.15,167.15,158.95,158.95
0,4860,150.55,150.55,167.75,167.75
1,0,169.65,169.65,164.4,164.4
1,540,156.9,156.9,168.9,168.9
1,1080,196.5,196.5,154.35,154.35
1,1620,158.9,158.9,174.7,174.7
1,2160,158.15,158.15,142.05,142.05
1,2700,153.45,153.45,131.85,131.85
1,3240,183.75,183.75,110.05,110.05
1,3780,139.45,139.45,127.95,127.95
1,4320,167.15,167.15,155.45,155.45
1,4860,150.55,150.55,183.95,183.95
2,0,169.65,169.65,176.0,176.0
2,540,156.9,156.9,155.65,155.65
2,1080,196.5,196.5,136.15,136.15
2,1620,158.9,158.9,146.25,146.25
2,2160,158.15,158.15,177.9,177.9
2,2700,153.45,153.45,174.1,174.1
2,3240,183.75,183.75,121.25,121.25
2,3780,139.45,139.45,123.2,123.2
2,4320,167.15,167.15,162.25,162.25
2,4860,150.55,150.55,155.35,155.35
3,0,169.65,169.65,172.0,172.0
3,540,156.9,156.9,152.45,152.45
3,1080,196.5,196.5,160.0,160.0
3,1620,158.9,158.9,122.2,122.2
3,2160,158.15,158.15,148.05,148.05
3,2700,153.45,153.45,169.35,169.35
3,3240,183.75,183.75,145.3,145.3
3,3780,139.45,139.45,174.9,174.9
3,4320,167.15,167.15,124.5,124.5
3,4860,150.55,150.55,170.1,170.1
4,0,169.65,169.65,138.7,138.7
4,540,156.9,156.9,143.35,143.35
4,1080,196.5,196.5,165.9,165.9
4,1620,158.9,158.9,142.55,142.55
4,2160,158.15,158.15,141.5,141.5
4,2700,153.45,153.45,137.15,137.15
4,3240,183.75,183.75,142.1,142.1
4,3780,139.45,139.45,165.15,165.15
4,4320,167.15,167.15,142.75,142.75
4,4860,150.55,150.55,180.9,180.9
5,0,169.65,169.65,131.65,131.65
5,540,156.9,156.9,145.7,145.7
5,1080,196.5,196.5,159.55,159.55
5,1620,158.9,158.9,156.3,156.3
5,2160,158.15,158.15,147.95,147.95
5,2700,153.45,153.45,134.4,134.4
5,3240,183.75,183.75,141.15,141.15
5,3780,139.45,139.45,144.25,144.25
5,4320,167.15,167.15,150.6,150.6
5,4860,150.55,150.55,166.4,166.4
6,0,169.65,169.65,144.6,144.6
6,540,156.9,156.9,168.55,168.55
6,1080,196.5,196.5,157.5,157.5
6,1620,158.9,158.9,148.9,148.9
6,2160,158.15,158.15,193.3,193.3
6,2700,153.45,153.45,149.2,149.2
6,3240,183.75,183.75,178.15,178.15
6,3780,139.45,139.45,143.3,143.3
6,4320,167.15,167.15,148.45,148.45
6,4860,150.55,150.55,158.6,158.6
7,0,169.65,169.65,143.35,143.35
7,540,156.9,156.9,144.05,144.05
7,1080,196.5,196.5,118.75,118.75
7,1620,158.9,158.9,160.05,160.05
7,2160,158.15,158.15,150.7,150.7
7,2700,153.45,153.45,149.45,149.45
7,3240,183.75,183.75,171.6,171.6
7,3780,139.45,139.45,139.0,139.0
7,4320,167.15,167.15,156.05,156.05
7,4860,150.55,150.55,155.7,155.7
8,0,169.65,169.65,121.8,121.8
8,540,156.9,156.9,133.05,133.05
8,1080,196.5,196.5,166.25,166.25
8,1620,158.9,158.9,134.45,134.45
8,2160,158.15,158.15,176.7,176.7
8,2700,153.45,153.45,161.2,161.2
8,3240,183.75,183.75,152.9,152.9
8,3780,139.45,139.45,146.9,146.9
8,4320,167.15,167.15,158.5,158.5
8,4860,150.55,150.55,171.2,171.2
9,0,169.65,169.65,108.35,108.35
9,540,156.9,156.9,156.5,156.5
9,1080,196.5,196.5,134.0,134.0
9,1620,158.9,158.9,143.75,143.75
9,2160,158.15,158.15,139.35,139.35
9,2700,153.45,153.45,169.3,169.3
9,3240,183.75,183.75,183.55,183.55
9,3780,139.45,139.45,116.6,116.6
9,4320,167.15,167.15,193.3,193.3
9,4860,150.55,150.55,148.0,148.0
10,0,169.65,169.65,142.7,142.7
10,540,156.9,156.9,139.4,139.4
10,1080,196.5,196.5,111.2,111.2
10,1620,158.9,158.9,172.6,172.6
10,2160,158.15,158.15,163.9,163.9
10,2700,153.45,153.45,189.85,189.85
10,3240,183.75,183.75,121.4,121.4
10,3780,139.45,139.45,146.25,146.25
10,4320,167.15,167.15,137.35,137.35
10,4860,150.55,150.55,162.45,162.45
11,0,169.65,169.65,131.0,131.0
11,540,156.9,156.9,162.8,162.8
11,1080,196.5,196.5,151.95,151.95
11,1620,158.9,158.9,160.25,160.25
11,2160,158.15,158.15,169.35,169.35
11,2700,153.45,153.45,178.0,178.0
11,3240,183.75,183.75,129.35,129.35
11,3780,139.45,139.45,161.85,161.85
11,4320,167.15,167.15,141.45,141.45
11,4860,150.55,150.55,139.25,139.25
12,0,169.65,169.65,131.8,131.8
12,540,156.9,156.9,147.15,147.15
12,1080,196.5,196.5,139.2,139.2
12,1620,158.9,158.9,183.35,183.35
12,2160,158.15,158.15,127.9,127.9
12,2700,153.45,153.45,139.25,139.25
12,3240,183.75,183.75,159.95,159.95
12,3780,139.45,139.45,167.7,167.7
12,4320,167.15,167.15,134.85,134.85
12,4860,150.55,150.55,140.4,140.4
13,0,169.65,169.65,110.7,110.7
13,540,156.9,156.9,134.55,134.55
13,1080,196.5,196.5,164.6,164.6
13,1620,158.9,158.9,187.65,187.65
13,2160,158.15,158.15,132.85,132.85
13,2700,153.45,153.45,164.85,164.85
13,3240,183.75,183.75,178.6,178.6
13,3780,139.45,139.45,123.55,123.55
13,4320,167.15,167.15,111.4,111.4
13,4860,150.55,150.55,134.45,134.45
14,0,169.65,169.65,152.4,152.4
14,540,156.9,156.9,111.35,111.35
14,1080,196.5,196.5,145.55,145.55
14,1620,158.9,158.9,135.25,135.25
14,2160,158.15,158.15,170.25,170.25
14,2700,153.45,153.45,173.65,173.65
14,3240,183.75,183.75,159.75,159.75
14,3780,139.45,139.45,142.75,142.75
14,4320,167.15,167.15,178.7,178.7
14,4860,150.55,150.55,132.25,132.25
15,0,169.65,169.65,154.85,154.85
15,540,156.9,156.9,161.15,161.15
15,1080,196.5,196.5,146.0,146.0
15,1620,158.9,158.9,111.55,111.55
15,2160,158.15,158.15,151.35,151.35
15,2700,153.45,153.45,169.3,169.3
15,3240,183.75,183.75,171.7,171.7
15,3780,139.45,139.45,144.35,144.35
15,4320,167.15,167.15,120.65,120.65
15,4860,150.55,150.55,160.5,160.5
16,0,169.65,169.65,166.1,166.1
16,540,156.9,156.9,153.85,153.85
16,1080,196.5,196.5,143.15,143.15
16,1620,158.9,158.9,177.5,177.5
16,2160,158.15,158.15,159.55,159.55
