epoch,step,train_m_loss,train_s_loss,test_m_loss,test_s_loss
0,0,1.2055,1.2055,1.1353,1.1353
0,540,0.1547,0.1547,0.1315,0.1315
0,1080,0.1839,0.1839,0.1355,0.1355
0,1620,0.1055,0.1055,0.1557,0.1557
0,2160,0.1132,0.1132,0.1296,0.1296
0,2700,0.1304,0.1304,0.1952,0.1952
0,3240,0.1236,0.1236,0.1647,0.1647
0,3780,0.1277,0.1277,0.1298,0.1298
0,4320,0.1396,0.1396,0.1143,0.1143
0,4860,0.1625,0.1625,0.142,0.142
1,0,0.1651,0.1651,0.1725,0.1725
1,540,0.1245,0.1245,0.0869,0.0869
1,1080,0.1872,0.1872,0.1586,0.1586
1,1620,0.1112,0.1112,0.1579,0.1579
1,2160,0.1169,0.1169,0.1548,0.1548
1,2700,0.1236,0.1236,0.1113,0.1113
1,3240,0.1161,0.1161,0.1398,0.1398
1,3780,0.1285,0.1285,0.1377,0.1377
1,4320,0.1266,0.1266,0.1396,0.1396
1,4860,0.1592,0.1592,0.1461,0.1461
2,0,0.1661,0.1661,0.1463,0.1463
2,540,0.1183,0.1183,0.1298,0.1298
2,1080,0.1837,0.1837,0.1098,0.1098
2,1620,0.15,0.15,0.1418,0.1418
2,2160,0.1243,0.1243,0.1611,0.1611
2,2700,0.1217,0.1217,0.1205,0.1205
2,3240,0.1172,0.1172,0.1541,0.1541
2,3780,0.133,0.133,0.1262,0.1262
2,4320,0.1289,0.1289,0.141,0.141
2,4860,0.1576,0.1576,0.1419,0.1419
3,0,0.1652,0.1652,0.113,0.113
3,540,0.0974,0.0974,0.1541,0.1541
3,1080,0.1558,0.1558,0.1148,0.1148
3,1620,0.1265,0.1265,0.126,0.126
3,2160,0.114,0.114,0.1464,0.1464
3,2700,0.1338,0.1338,0.1372,0.1372
3,3240,0.1171,0.1171,0.1516,0.1516
3,3780,0.1289,0.1289,0.1456,0.1456
3,4320,0.1175,0.1175,0.1391,0.1391
3,4860,0.1532,0.1532,0.1319,0.1319
4,0,0.1654,0.1654,0.1213,0.1213
4,540,0.1021,0.1021,0.1309,0.1309
4,1080,0.1428,0.1428,0.1562,0.1562
4,1620,0.1685,0.1685,0.1147,0.1147
4,2160,0.1131,0.1131,0.138,0.138
4,2700,0.1271,0.1271,0.121,0.121
4,3240,0.1221,0.1221,0.1592,0.1592
4,3780,0.1369,0.1369,0.146,0.146
4,4320,0.1385,0.1385,0.1412,0.1412
4,4860,0.1533,0.1533,0.1311,0.1311
5,0,0.1664,0.1664,0.1407,0.1407
5,540,0.104,0.104,0.1524,0.1524
5,1080,0.1397,0.1397,0.148,0.148
5,1620,0.1356,0.1356,0.151,0.151
5,2160,0.1125,0.1125,0.1612,0.1612
5,2700,0.1324,0.1324,0.1322,0.1322
5,3240,0.1354,0.1354,0.1421,0.1421
5,3780,0.1391,0.1391,0.1474,0.1474
5,4320,0.1477,0.1477,0.1256,0.1256
5,4860,0.1523,0.1523,0.117,0.117
6,0,0.1647,0.1647,0.1564,0.1564
6,540,0.0986,0.0986,0.1513,0.1513
6,1080,0.1565,0.1565,0.1108,0.1108
6,1620,0.1356,0.1356,0.1354,0.1354
6,2160,0.1145,0.1145,0.141,0.141
6,2700,0.1366,0.1366,0.1198,0.1198
6,3240,0.122,0.122,0.1544,0.1544
6,3780,0.1329,0.1329,0.1172,0.1172
6,4320,0.1461,0.1461,0.107,0.107
6,4860,0.1561,0.1561,0.1641,0.1641
7,0,0.1566,0.1566,0.1326,0.1326
7,540,0.0866,0.0866,0.1053,0.1053
7,1080,0.1478,0.1478,0.1352,0.1352
7,1620,0.1056,0.1056,0.1623,0.1623
7,2160,0.1041,0.1041,0.12,0.12
7,2700,0.1234,0.1234,0.1488,0.1488
7,3240,0.1178,0.1178,0.1387,0.1387
7,3780,0.1285,0.1285,0.139,0.139
7,4320,0.1703,0.1703,0.1361,0.1361
7,4860,0.1527,0.1527,0.1433,0.1433
8,0,0.1548,0.1548,0.1143,0.1143
8,540,0.0886,0.0886,0.1662,0.1662
8,1080,0.1419,0.1419,0.1255,0.1255
8,1620,0.1212,0.1212,0.1241,0.1241
8,2160,0.1061,0.1061,0.1114,0.1114
8,2700,0.1107,0.1107,0.0981,0.0981
8,3240,0.1032,0.1032,0.0797,0.0797
8,3780,0.1224,0.1224,0.145,0.145
8,4320,0.1323,0.1323,0.121,0.121
8,4860,0.1399,0.1399,0.1253,0.1253
9,0,0.1469,0.1469,0.1225,0.1225
9,540,0.0793,0.0793,0.0954,0.0954
9,1080,0.1438,0.1438,0.1289,0.1289
9,1620,0.1025,0.1025,0.1003,0.1003
9,2160,0.1048,0.1048,0.1274,0.1274
9,2700,0.1338,0.1338,0.1108,0.1108
9,3240,0.0872,0.0872,0.1389,0.1389
9,3780,0.1115,0.1115,0.0927,0.0927
9,4320,0.1441,0.1441,0.1003,0.1003
9,4860,0.1309,0.1309,0.1798,0.1798
10,0,0.1467,0.1467,0.1235,0.1235
10,540,0.0896,0.0896,0.1378,0.1378
10,1080,0.1284,0.1284,0.1165,0.1165
10,1620,0.12,0.12,0.11,0.11
10,2160,0.1099,0.1099,0.0965,0.0965
10,2700,0.1448,0.1448,0.1125,0.1125
10,3240,0.0828,0.0828,0.1207,0.1207
10,3780,0.1209,0.1209,0.1712,0.1712
10,4320,0.1165,0.1165,0.0897,0.0897
10,4860,0.1128,0.1128,0.0804,0.0804
11,0,0.13,0.13,0.1143,0.1143
11,540,0.0923,0.0923,0.1291,0.1291
11,1080,0.1399,0.1399,0.1102,0.1102
11,1620,0.0968,0.0968,0.1167,0.1167
11,2160,0.1055,0.1055,0.1195,0.1195
11,2700,0.1422,0.1422,0.108,0.108
11,3240,0.0788,0.0788,0.0939,0.0939
11,3780,0.1142,0.1142,0.117,0.117
11,4320,0.1224,0.1224,0.0977,0.0977
11,4860,0.1056,0.1056,0.1039,0.1039
12,0,0.1193,0.1193,0.0819,0.0819
12,540,0.0701,0.0701,0.1037,0.1037
12,1080,0.1226,0.1226,0.114,0.114
12,1620,0.1013,0.1013,0.114,0.114
12,2160,0.1014,0.1014,0.1296,0.1296
12,2700,0.1147,0.1147,0.1098,0.1098
12,3240,0.0769,0.0769,0.0943,0.0943
12,3780,0.1139,0.1139,0.0932,0.0932
12,4320,0.1377,0.1377,0.1028,0.1028
12,4860,0.1092,0.1092,0.0879,0.0879
13,0,0.1169,0.1169,0.0755,0.0755
